uniqueID,drugName,condition,review,rating,date,usefulCount,label
39533,Contrave,Obesity,"""I have started Contrave off and on for over 8 months now. When I was taking it both morning and evening a did notice the weight loss. My body seemed to just release whatever I ate via bowel movements. I was losing weight. It is hard in the beginning letting the meds get into your system, the dizziness, headaches, moodiness and nauseous feelings did occur with me. I just started back again yesterday. Although it is effective, getting passed the side effects is why I keep stopping.""",8,3-May-16,27,1
68682,Medroxyprogesterone,Abnormal Uterine Bleeding,"""This is Betty Lue 2017Just to follow up on my post a couple days ago I got admitted to the hospital yesterday April 3, 2017 for a critical low blood level . Had to get transfuse 2 units now the doctor wants to give me more because it is still critically low.  Level went down to 6 .Still bleeding from depo.  This drug need to be off the market. All other birth control if you stop using it it will start to ware off but depo can linger in your body for weeks and months. This is very sad. I saw my GYN  on April 20th and he decided to do a D&amp;C  . It was best decision ever after procedure  I bleed out what was left the  3 hours later it changed to spotting then light red spotting now today is April 8th no spotting . So get D&amp;C if ur still bleedin""",1,8-Apr-17,3,0
108085,Ethinyl estradiol / norelgestromin,Birth Control,"""I have been on this patch since February. I LOVE it! My periods start the friday night/ early saturday morning of the week I am off my patch ( I change them on Mondays) and I am off by Tuesday night. My periods use to be extremely heavy and very painful but since starting the patch have been great! The weekend before I take it off for the week I am more irritable and bitchy but not horrible. I have started noticing though in the last 2- 3 months that on the weeks I am off the patch by Wednesday I am starting to get really depressed and not feeling like myself, and this is lasting until Monday when I put the patch back on.""",9,24-Sep-15,2,1
84287,Ethinyl estradiol / norgestimate,Birth Control,"""I was prescribed Tri Lo Sprintec to use for birth control as well as to help my acne. On day 3 of this pill, my legs began getting very itchy. In the days following, I had sparks of pressure in both of my legs up until day 9 where the pain had become one sided and started making my right leg throb non stop. Birth control has ties to blood clots so I was super worried. I stopped taking the pill right away after that and my leg pain went away within 2 days. It also gave me really bad acne even though I had only been on it for less than a week and a half. I do not recommend this pill at all.""",1,1-Feb-17,3,0
225471,Bupropion,Anxiety,"""I&#039;ve been diagnosed with Generalized Anxiety Disorder with a secondary diagnosis of Depression for almost 2 years. I used to be on 200mg of Wellbutrin, but recently, was switched to 300mg of the extended release due to a relapse in anxiety/depressive symptoms. I&#039;ve noticed that I&#039;ve had more energy since switching and my mood has been elevated. HOWEVER, be extremely careful with alcohol consumption!!!! My tolerance lowered and 8 hours after I stopped drinking, I ended up in the hospital for uncontrollable vomiting. Depressive symptoms and stomach issues persisted for 4 days after being hospitalized. For me, not drinking isn&#039;t a big deal since I don&#039;t really drink much to begin with, but if you&#039;re a huge social drinker, be careful!""",8,3-Oct-14,29,1
101878,Terbinafine,"Onychomycosis, Toenail","""I finally started this medication in Sept. Of 2016. The only side effect I had was loss of taste and once I finished my 90 day supply, my taste came back. My toenails were awful. """,9,11-Mar-17,7,1
15644,Ethinyl estradiol / norethindrone,Birth Control,"""I used to be on Loestrin FE and loved it but the pharmacy switched it to Blisovi and since I&#039;ve started taking it I&#039;m up 15-20lbs depending on the day.  I work out every day and have a very healthy diet yet no matter what I do the weight won&#039;t drop. Being someone who struggled with weight naturally, got to a goal body fat/weight only to have it spike so rapidly is extremely upsetting. Not only is my weight up but my face breaks out all the time and my anxiety as of late has been awful.  I DO NOT recommend this pill.""",2,6-Nov-16,3,0
106776,Implanon,Birth Control,"""Man oh man. Let me tell ya&#039;ll about this implanon birth control. I got this implant in my arm one month after I had my twin girls. I just got it taken out yesterday, I had this piece of shit a little over a year. Putting it in isn&#039;t bad. But I bled for that whole year and one month! Extremely heavy. At one point I thought I had to go to the ER. Not only that hair loss is one of the side effects that they don&#039;t tell you about in the doctors office. My hair has gotten so damn thin it&#039;s a shame. PLUS don&#039;t forget about the acne that never goes away, no matter how many times you wash your face lol. I&#039;ve read that woman gained weight on this, but for me it was the complete opposite, I lost a lot of weight.. Plus constant mood swings!""",1,22-May-15,10,0
24588,Polyethylene glycol 3350 with electrolytes,Bowel Preparation,"""The prep was for my wife who has chronic migraines.  A look at the ingredients reveals it contains Aspartame, which can trigger migraines.""",1,9-Apr-15,25,0
58740,Hydrochlorothiazide / telmisartan,High Blood Pressure,"""I have been on this medicine for about a year. Great medicine. Blood pressure went from 160/94 to 110/72 also lost about 25 pounds.""",10,16-Feb-09,21,1
57923,Acetaminophen / hydrocodone,Back Pain,"""Lortab 10/325 is a very effective medicine for scoliosis.""",10,27-Sep-11,12,1
183393,Cymbalta,Depression,"""Cymbalta was the worst possible medicine I have ever been on.  Not only did it not help my depression at all, it actually made it worse.  I also started taking it for Fibromyalgia pain which it did not help.  Indeed, I have had more pain since starting on the Cymbalta than before I was on it. I can&#039;t even count how many times I have considered putting myself in the mental health ward of the local hospital. """,1,15-Dec-11,18,0
29259,Topiramate,Migraine Prevention,"""I was put on Topamax, but the generic version about 5 yrs ago for migraines. The weight loss was phenomenal when I took it like I was instructed. It decreased my appetite tremendously. I did have tingling in my hands &amp; feet for a while &amp; was a little foggy, but nothing too bad. I actually didn&#039;t attribute these effects to the Topamax until reading others account. I went from 220 to 180 lbs in under a year. I stopped taking it about 3 months ago because a friend complained that it made her hair fall out &amp; that she was feeling mentally ill so I got scared &amp; stopped. Now my appetite has really picked up. I&#039;m going back to the Topamax because my hair never fell out or anything &amp; I didn&#039;t feel mental. Everyone reacts differently to different med""",8,27-Oct-16,9,1
159624,"Insulin inhalation, rapid acting","Diabetes, Type 1","""Amazing results with Afrezza and Toujeo. Truly next generation insulin therapy is here. Thanks Sanofi!!!""",10,5-Jul-15,87,1
55757,Effexor,Depression,"""I developed depression when I was 14 after being bullied at school for some time. I decided that I had enough of all the crying and suicidal thoughts just before my 16th. My doctor put me on Zoloft April 2014, which gave me urinary retention. He swapped me to another one which I can&#039;t remember the name of, but I had a terrible allergic reaction to it. Finally, I was put on Effexor for 6 months until I was ready to come off them in October 2014. I experienced no depression for a few months, until I became stressed with school. Started Effexor again April 2015, and will continue on it because it works very, very well on me. At first I experienced a little bit of nausea with Effexor, but it passes after a couple of weeks then it&#039;s perfect!""",9,2-May-15,33,1
48891,Ethinyl estradiol / levonorgestrel,Birth Control,"""I&#039;ve been taking aubra for about 6-7 months now, and I have had no major side effects, the only thing I can really complain about is before when I got my period I  would never get cramps, now when I do have it I get cramps but they are very minor. I had little to no acne before taking it, and I have noticed I only get a few pimples here and there, my sex drive has not changed at all still pretty good. Mood swings are a bit of a problem to where I will get upset with my boyfriend for not replying in a timely matter, over dumb stuff I get upset. And no weight gain at all.  But other than that aubra has gotten me on a regular monthly period before I only had it once maybe 3 times a year.""",9,1-Jan-17,2,1
227751,Etonogestrel,Birth Control,"""I LOVE IT. I had Implanon implanted early September 2011 and had a little bit of spotting for the first 3 weeks and that was it. As for the procedure, I HATE NEEDLES. I had the doctor distract me for the whole process and I still fainted (haha oops) the procedure wasn&#039;t as bad as I may have made. It just seems with my fainting (I&#039;m just a wuss),  it was fast and basically painless. My periods have completely stopped. I love not worrying about having to take a pill every day. Overall I am very happy with Implanon! 
""",10,8-Nov-11,0,1
15653,Ethinyl estradiol / norethindrone,Birth Control,"""I have been on this birth control for about a month and while I&#039;m aware that it&#039;s not long enough for the pill to really set in, I&#039;ve suffered major side effects that are important to know about. This pill is causing me to have a second period this month, and I&#039;m anemic, so it&#039;s making me feel extremely fatigued. It&#039;s also spiked very very severe depression and a loss of appetite.""",1,3-Nov-16,6,0
228271,Etonogestrel,Birth Control,"""I had Implanon inserted in January 08. I get my half-period roughly every 9 weeks. Of course there&#039;s spotting. Half period is when you don&#039;t use a tampon, just a mini pad. I haven&#039;t used a tampon in at least 11 months. There&#039;s no need too.""",8,13-Mar-09,3,1
61622,Citalopram,Depression,"""Although cipram initially seemsd to help me over a bad patch ( divorce )  I  lost my ability to enjoy sex , achieve orgasm Previously enjoyed a happy active fulfilling and pleasurable sex life. When I was ready to date again and have new boyfriends this was frustrating and caused deeper unhappiness and sadness .. I&#039;m hoping my pleasure will return .. Wish I&#039;d never taken it !""",1,14-Aug-16,7,0
176310,Lorazepam,Anxiety,"""Saved my life and made my life managable. So far superior to numerous SSRI&#039;s, SSNI&#039;s, off label gabapentim. serax, than any of the 10 other anti depressants I tried. Wasted 3 years of my life. May be addictive for addicts &amp; alcohol abusers but if taken as prescribed I&#039;ve had minimal side effects. I&#039;m not dizzy, falling, etc.""",9,15-Feb-16,49,1
13510,Amphetamine / dextroamphetamine,ADHD,"""Lost about 60 pounds, was a bit concerned, and I had to force myself to eat sometimes.""",8,21-Dec-13,52,1
182177,Clomipramine,Obsessive Compulsive Disorde,"""I take this medication for obsessive compulsive disorder and anxiety. This medication has been the saving grace of my life!  The only side effects I have experienced are insomnia when I first started it or up a dose, but it goes away within a few days. And dry mouth. But I feel so much better freed of my obsessional thoughts I don&#039;t care!  I take 150 mg a day and have been on it 5 years. No other medicine has ever been so effective for this long, and believe me I have taken everything you can name!""",9,17-Jan-15,186,1
126924,Metoclopramide,Nausea/Vomiting,"""IM injections of Reglan helped to relieve my nausea and vomiting that resulted from serious side adverse effects from an antibiotic.""",10,2-Jun-17,2,1
225989,Bupropion,Depression,"""I&#039;m on my 5th day of Bupropion for generalized anxiety and depression and so far very happy.  Appetite is way down (food drive was through the roof before) and although sex drive has not changed, the degree of pleasure is up.  I had a feeling of lightheadedness for the first two days before it subsided.  The only real side effect is a mild case of localized dystonia at the base of my neck.  I have had such a positive experience so far with the drug (compared to the many side effects of other medications) that I think I can live with a little discomfort and rigidity for now. """,9,4-Oct-09,56,1
100854,Orlistat,Obesity,"""Just want to comment on an early review from someone saying it didn&#039;t work. The person has a BMI lower than this product is intended for and doesn&#039;t sound to eat a lot of fat so this product is unlikely to work for them. 
I have a high BMI and found that it helped my weight loss to be more consistent than dieting alone. I have changed my eating habits and haven&#039;t had any negative side effects. You need to put effort in and can&#039;t expect it to do all the work for you.""",8,4-Jul-15,138,1
189111,Oxycodone,Chronic Pain,"""I have had chronic back and neck pain since 2002. I have had back surgery twice and neck surgery once.  I have tried a lot of different options and the OxyContin, Oxycodone combination has been the best for me. Since the onset of all this &quot;Opioid crisis&quot; has happen it has been harder and harder to get my meds. The old saying &quot;don&#039;t let one bad apple spoil the whole bunch&quot; says it all. That&#039;s what the government has done, let a few bad apples spoil the whole bunch. People that need these meds need them and with the way it is now doctors don&#039;t want to give them out. If I could I would get off them in an instance but my life is miserable without them from the pain I have so here I am, stuck getting what I can to get at least some relief.""",9,19-Nov-17,5,1
171568,Wellbutrin,Depression,"""I just took the first 100mg pill a few hours ago and I feel different. I feel almost normal. I&#039;m not thinking about being depressed and my energy is almost back to normal. No antidepressant, antipsychotic or mood stabilizer has ever done that! If this feeling keeps up or gets better, I don&#039;t know what I&#039;ll do. I&#039;ll probably cry tears of joy. Is this what normal people feel like?""",10,18-Jul-13,151,1
216484,Sildenafil,Erectile Dysfunction,"""Absolute gold. """,10,20-Jul-13,34,1
118632,Drospirenone / ethinyl estradiol,Acne,"""This pill has cleared up my acne and regulated my period! I used to never get my period and now I get it every single month. I did go up a few bra sizes but I remain the same weight overall. It did make my period very heavy and very painful along with bad emotional breakdowns on the sugar pills. Other than that, I really like this pill!""",8,3-Dec-17,0,1
43841,Acetaminophen / codeine,Pain,"""Tylenol 3 does not help in alleviating any pain in my circumstances.""",1,1-Mar-10,4,0
27519,DDAVP,Diabetes Insipidus,"""I was diagnosed with diabetes insipidus a little over a year ago.  This medication is absolutely a life saver.  I love this medication and it&#039;s the only reason that I can live a semi-normal life!""",10,17-Aug-10,14,1
192257,Drospirenone / ethinyl estradiol,Premenstrual Dysphoric Disorde,"""I have started taken yasmin after reading reviews about how good it is for acne and PMS , and I had very frequent periods that I needed to regulate ,   but soon after taking the 1st tablet I had severe nausea that lasted all day , 3 days down the line I became very low in mood , I was very tearful , the slightest things would irritate me , I had never felt like this in ages, I was  taking accutane at the same time , so I attributed the low mood to accutane. Since I couldn&#039;t tolerate the severe nausea , I stopped taking yasmin and strangely my mood suddenly changed , I was no longer depressed or tearful and I was still on accutane. I think people react differently to medications , but I am sure yasmin wasn&#039;t the right OCP for me.""",1,26-Oct-15,3,0
131646,Effexor XR,Anxiety,"""This may be an isolated incident, but I only took this medication for 6 weeks and had horrible memory loss. I was unaware that there is a 44% chance of memory loss with this medication. I am trying to work my way back to my old self, who used to have a photographic memory. I highly suggest if you have severe anxiety like I do, do not take this medication.""",1,29-Aug-16,14,0
198531,Calamine,Pruritus,"""I had rash due to an allergic reaction to prescibed medication that was so aggressive I was covered head to toe in 35 hours. First trip to ER netted me prednisone, Benadryl and Zantac which helped with the swelling but not the crazy itching! After another 40 hours of trying not to scratch I went back to ER because the rash was still spreading and I was needing a straight jacket for the itch. New antihistamine prescribed and told to get some Calamine lotion. The pink stuff from when you were a kid? Yep. 

In the car and slathering pink all over my arms and I am finally getting a little relief. Begged Mom to rub it on my back. THE RELIEF!!! 

The new pill helped too but I will never underestimate the power of the pink stuff. $6. Thank you GOD.""",10,26-Jul-14,29,1
173084,Clonazepam,Benzodiazepine Withdrawal,"""It&#039;s very effective  and last longer then most benzo but alprazolam is stronger!""",9,10-Jan-11,29,1
57652,Acetaminophen / hydrocodone,Rheumatoid Arthritis,"""This medication was similar to taking just Tylenol. Did not improve my mobility at all and did not touch my pain level.""",2,8-Dec-15,6,0
162082,Ciprofloxacin,Urinary Tract Infection,"""Began taking this medicine when I was in pain for a strong UTI. This medicine has made me feel the worst I&#039;ve ever felt in my life. Constantly throwing up, extremely high fever (104), dizzy, confused, blurred vision, chills, insomnia, and the most painful back, ribs, neck, and leg pain. As well, it makes you urinate less frequently and that put together with not being able to hold down water, how is this supposed to make me &quot;better&quot;? I have never been one who is sensitive to medication but due to the amount of dehydration and pain I&#039;ve been caused I&#039;m currently sitting in a hospital hooked up to an IV. I wouldn&#039;t suggest this medication to anyone, ever.""",1,26-Sep-16,14,0
72777,Ethinyl estradiol / norethindrone,Birth Control,"""My experience with this BC started out well but quickly took a horrible turn. I had been on it a few years ago and experienced moods swings so I stopped taking it. I started again about 3 months ago. While I had no period, crapping, or acne..it caused me to be more anxious than I ever had been. I have barely slept in days, I feel extremely depressed and have a negative outlook on life. This BC ruined me, nausea, leg pain, anxiety and depression. Please be careful if you have a history of anxiety or depression taking this. The mood swings just aren&#039;t worth it. Losing my sex drive and have been pulling away from my boyfriend. I would definitely not recommend this BC to anyone, even someone I hated lol.""",2,17-Aug-15,3,0
182346,Mirena,Birth Control,"""Love Mirena. I had it put in almost 4 years ago after my daughter was born and I have had no side effects or issues with it. I do still get my period monthly but it is super lite. We are planning on having another baby and so I am taking it out in a few months and then I will use Mirena again after that baby. Maybe I&#039;ll write again after that experience.""",9,16-May-11,3,1
222468,Kyleena,Birth Control,"""The first 2 months were wonderful, my periods were lighter and I loved not having to remember to take a pill everyday. The 3rd month hit and everything went downhill. They say the adjustment period is usually 3 months and after that you shouldn&#039;t get any symptoms. A week and a half before my 3rd cycle was to begin I woke up feeling nauseous and had vertigo. At first I didn&#039;t think anything of it because my body is quite sensitive as it is, but then it happened the next morning and the next and now I&#039;m into my fourth month, I&#039;ve missed 2 weeks of work, I can no longer consume solid food and my bowel movements are extremely abnormal. I finally secured an appointment and will be removing it in 2 days. If you&#039;re sensitive to hormones, beware!""",2,16-Aug-17,2,0
197936,Metoprolol,High Blood Pressure,"""Worked well in lowering my blood pressure, pulse rate, even helped some with my anxiety. I&#039;ve noticed no side effects, which is great because usually I find some reason to dislike drugs I am prescribed to. However I&#039;ve had no issues with this.""",10,11-Mar-16,93,1
29873,Oxazepam,Anxiety,"""I started taking oxazepam 15 mg at bedtime as needed for anxiety in December. It has really helped me and I have not experienced any side effects at all. It calms you down, you&#039;re able to function daily, and also get a good nights sleep.""",9,18-Oct-13,74,1
117357,Jublia,"Onychomycosis, Toenail","""I am very happy with this medication. I dropped a table on my big toes 3 years ago and damaged the growth matrix (and nail bed). I didn&#039;t realize this also caused a fungus infection which contributed to ugly thick yellow flaky nails. For years I just sucked it up and thought my nails were ruined permanently. After so many years I saw the nail was separating almost 2/3 from the nailbed and I became worried I&#039;d lose my nails. Went to my doctor and she prescribed me Jublia and only 2 months in I see a healthy nail growing back and also reattaching to the nailbed! It will take probably another 6-8 months maybe a year but I am so happy it&#039;s working. I only wish I had done this earlier! I am lucky my benefits cover it 100%. No side effects so far""",10,21-Jul-16,17,1
40004,Contrave,Obesity,"""For me, Contrave was my last chance before surgery. I started out a 300lbs, and yesterday I weighed in at 249! The first month the nausea was awful. I was almost ready to give up when I found someone that suggested Dramamine. I take one Dramamine every morning and the full 4 pill dosage of Contrave with no more nausea.  Other side effects for me have been almost constant constipation and very light sleep. One thing I want to make very clear is that Contrave doesn&#039;t make you lose weight by itself. It gets your mind in a place where you can do it yourself. It puts you in control, instead of the cravings. I have lost 50lbs, and I thank Contrave, but I still worked my ass off to get here! """,8,28-Jun-15,86,1
124290,Skyla,Birth Control,"""I love Skyla. Since I got Skyla 10 months ago I have never had to worry about being pregnant. My boyfriend and I have unprotected sex and he doesnt pull out or anything 4-5x a week and I NEVER have to worry about the effectiveness. Getting Skyla inserted was nothing... I took a few advils and a painkilller before insertion because I was so scared it was going to hurt, but it felt like mild discomfort and pressure for a few seconds. The worst part is the spotting. I spotted for about 2 months straight after I got it and still spot sometimes but my periods are short and few and far between. im occasionally very emotional (once a month). I get random cramps sometimes but its not bad given how effective this is with hardly any side effects""",10,4-Mar-16,6,1
71657,Tramadol,Back Pain,"""I have taken Tramadol of and on for 4 years.  I stopped taking it due to kidney pain on right side.  The Doctor insisted I take it for a back injury, told it him it gives me kidney pain and dismissed it.  Forward 6 months later when I took tram I would eat greek yogurt and kidney pain would go away, then one time had no yogurt took tram and pain stayed, increased and traveled to other side.  I went to Dr who  did urine test for infection which was inconclusive, 3 rounds antibiotics, an ultra sound, 2 CT scans, still no answers.  The pain has decreased by half as long as I don&#039;t stand long or do to much activity. Feels similar to menstrual cramps but only higher up and right where kidneys are at and like someone squeezing my kidneys, also sometime would feel like kidneys swelling up.""",2,13-Aug-17,7,0
69170,Celebrex,Osteoarthritis,"""Very expensive but worth it. I&#039;ve have football knees and a bad back. This cleans up the stiffness and gets things circulating. Eat right after you take it. I have been taking this for years and I&#039;d be lost without it.""",10,7-Nov-12,77,1
156337,Ropinirole,Periodic Limb Movement Disorde,"""Was it Multiple Sclerosis fatigue?  I thought I was stuck with awful 24/7 sleepiness and waking up as tired. Three months ago, I was relieved after 15   years by Ropinirole the very first dose after a new doc asked if anyone had ever mentioned me twitching at night.  Try it. It might be your miracle too!  I feel like me twenty years ago.""",10,26-Jan-15,13,1
12486,Ortho Micronor,Birth Control,"""This birth control was alright for the first few months and then I started getting my period every two weeks, which wasn&#039;t a huge problem because I had zero interest in having sex anyway! I was so frustrated I finally stopped using it , switched to FAM got my sex drive back , and have regular periods.""",2,12-Nov-15,0,0
143631,Etonogestrel,Birth Control,"""My 15yr old daughter had Nexplanon implanted 3mths ago. Best choice given She has horrible periods &amp; busy schd. Since then she has been sick several times, lost interest in a lot of things she once enjoyed, has continued to have light spotting since the implantation. 2mths ago she had sudden onset of facial swelling. Then 5wks ago she started having sinus/allergy symptoms. After 3 rounds of antibiotics, a steroid+starting allergy pill + nose spray she has not gotten better at all. Actually seems to have gotten worse.  She&#039;s miserable. She has constant cold chills, head aches, Shortness of breath, restless sleep &amp; moodiness. She&#039;s almost seems depressed. She has had spotting the entire 3mths since implanted. She goes Monday to get it removed""",2,27-Nov-16,9,0
72043,Tramadol,Pain,"""This medication does not relieve eve the slightest pain.""",1,2-Jun-15,18,0
163733,Mirtazapine,Depression,"""I have it all...anxiety, depression and insomnia.  Sometimes I can be anxious in the morning, depressed in the afternoon. Have tried Wellbutrin/Cymbalta combination, Pristiq, Viibryd, Effexor, and every SSRI.  I definitely felt an improvement with Cymbalta/Wellbutin and Pristiq, but not 100% myself.  Remeron has been a God send to me.  It works fast; dare I say I am in a good mood again after only three days. I was a bit tired in the morning, but I will gladly take some fatigue to rid of the anxiety and depression, and I hear this goes away in time.  As far as the weight gain, I have always been a good eater and go to the gym, so if my appetite increases (it hasn&#039;t as of yet) I will just have to monitor it. So far, it&#039;s been great.""",10,18-Apr-12,101,1
8133,Zolpidem,Insomnia,"""Very addicting. Destroyed my life. Ok at first for a week or two but then one wouldn&#039;t put me to sleep so I started taking two then three then I couldn&#039;t sleep at all. It was like my mind was craving it to slow down. Before long my husband was taking way to many. The depression was overwhelming.  It is as addictive as  cocaine or  heroin""",2,19-Jul-17,4,0
99134,Lutera,Birth Control,"""I&#039;ve been on Lutera for 6 weeks now. Only con is acne which is very mild. I&#039;m 5&#039;8 &amp; 117 lbs. I&#039;ve gained 7 pounds so far which I love since I have a fast metabolism. My breast grew also. I love Lutera so far. I&#039;m looking and feeling great.""",8,14-Oct-13,4,1
224649,Levothyroxine,"Hypothyroidism, After Thyroid Removal","""I&#039;ve been taking this medication for 30 years after my thyroid removal and it is great.  I take a pill every morning and I feel good all day.""",10,17-Jun-09,65,1
25515,Nivolumab,Melanoma,"""My Husband has had wonderful success with this medicine it never made him sick the whole time he has been taking it. He is presently still on it for maintaince""",10,19-Nov-17,2,1
198829,Depo-Provera,Abnormal Uterine Bleeding,"""I went on depo for two shots (6 months). When the first shot started wearing off there was an incredible amount of blood. Thank goodness it was near the end of the work day and I was wearing black pants, the amount of blood was beyond what I ever thought I could bleed. When the shot started wearing off (happening right now) the amount of blood that I am bleeding is extreme; soaking an entire pad in an hour for the past four days. If this continues I am going to have to go to the doctor regarding the amount of blood loss. I don&#039;t plan on going on the shot again.""",2,29-Aug-16,14,0
159652,Hydrochlorothiazide / lisinopril,High Blood Pressure,"""I&#039;ve been on this medicine for 3 months and have experienced no adverse effects. My blood pressure was 180/95 and now stays steady at 126/80. It did take a few days to adjust to it, but overall I find it beneficial.""",8,27-Aug-09,49,1
179125,Olanzapine,Major Depressive Disorde,"""Avoid this like the plague! I have had irreversible damage to my metabolic system because of this medication including my thyroid. Evidence came out after the medications release that they hid these symptoms to get a quick release. Gained 30lbs in 2 months on this. I weaned off 10 years ago and am still dealing with the ramifications of this drug. Not worth it.""",1,29-May-17,14,0
204392,BuSpar,Anxiety,"""Well this medication improved my mood related to possible social anxiety but on the 3 day of taking I had some psychosis related side effects in aggravation then started to get very hyper but depressed bad experience""",3,22-Feb-16,36,0
19930,Pregabalin,Pain,"""I still have pain. I gained 15 kg in one year.""",2,12-Aug-09,16,0
114362,Tacrolimus,Atopic Dermatitis,"""I&#039;m on Protopic 0,1% for only two days, and it has helped a lot, i think, in a week of daily usage two times per day, my AD will be gone. It has made HUGE improvement already. Only First time made my skin abnormaly itchy, as well as burning sensation followed, but in my second day, these bad sensations has decreased a lot, only itches a bit. I really am excited about this medication, very grayeful to doctor who prescribed Protopic. I feel really happy at the moment, after years and years of depressed mood and damaged skin.""",9,12-Dec-15,23,1
71680,Tramadol,Back Pain,"""My new Doctor tried to take me off tramadol and prescribed something else, additionally went to a one star rehab center with my bag of medication they didn&#039;t give me all of my medication back and short-changed me a full bottle of tramadol. What makes this a tragedy they gave me a pill case (14 day) with all the pills for someone else......................................""",9,27-Mar-17,6,1
188395,ParaGard,Birth Control,"""This so called birth control took away 4 years of my life I can never get back! I ended up with copper toxicity, my hair fell out in clumps, my periods were so heavy I couldn&#039;t even leave my house because I was severely eniemic...let&#039;s not mention the severe anxiety that again kept me a prisoner in my home. 

When I finally had the torture device removed it came out rusty and falling apart!  I still suffer long term effects from it. It needs to be removed from the market ...nothing good comes from it!""",1,19-May-17,5,0
